Win32_DiskDrive.DeviceID="\\\\.\\PHYSICALDRIVE0";Win32_PnPEntity.DeviceID="SCSI\\DISK&VEN_NVME&PROD_PM9B1_NVME_SAMSU\\4&2FF15C62&0&020000";
Win32_SoundDevice.DeviceID="INTELAUDIO\\FUNC_01&VEN_10EC&DEV_0236&SUBSYS_10280C02&REV_1000\\5&19183D4E&0&0001DIF_000A&UIF_0000";Win32_PnPEntity.DeviceID="INTELAUDIO\\FUNC_01&VEN_10EC&DEV_0236&SUBSYS_10280C02&REV_1000\\5&19183D4E&0&0001DIF_000A&UIF_0000";
Win32_SoundDevice.DeviceID="USB\\VID_046D&PID_0AB7&MI_00\\8&65B63BE&0&0000";Win32_PnPEntity.DeviceID="USB\\VID_046D&PID_0AB7&MI_00\\8&65B63BE&0&0000";
Win32_SoundDevice.DeviceID="INTELAUDIO\\CTLR_DEV_51CA&LINKTYPE_06&DEVTYPE_06&VEN_8086&DEV_AE50&SUBSYS_0C021028&REV_0001\\0603DIF_000A&UIF_0000";Win32_PnPEntity.DeviceID="INTELAUDIO\\CTLR_DEV_51CA&LINKTYPE_06&DEVTYPE_06&VEN_8086&DEV_AE50&SUBSYS_0C021028&REV_0001\\0603DIF_000A&UIF_0000";
Win32_SoundDevice.DeviceID="INTELAUDIO\\CTLR_DEV_51CA&LINKTYPE_03&DEVTYPE_00&VEN_8086&DEV_AE30&SUBSYS_0C021028&REV_0001\\5&19183D4E&0&0000DIF_000A&UIF_0000";Win32_PnPEntity.DeviceID="INTELAUDIO\\CTLR_DEV_51CA&LINKTYPE_03&DEVTYPE_00&VEN_8086&DEV_AE30&SUBSYS_0C021028&REV_0001\\5&19183D4E&0&0000DIF_000A&UIF_0000";
Win32_USBHub.DeviceID="USB\\VID_0BDA&PID_555B\\200901010001";Win32_PnPEntity.DeviceID="USB\\VID_0BDA&PID_555B\\200901010001";
Win32_USBHub.DeviceID="USB\\ROOT_HUB30\\4&2BD89D0B&0&0";Win32_PnPEntity.DeviceID="USB\\ROOT_HUB30\\4&2BD89D0B&0&0";
Win32_USBHub.DeviceID="USB\\VID_1A40&PID_0101\\7&268AEC4D&0&4";Win32_PnPEntity.DeviceID="USB\\VID_1A40&PID_0101\\7&268AEC4D&0&4";
Win32_USBHub.DeviceID="USB\\VID_2109&PID_2822\\5&38487EDF&0&1";Win32_PnPEntity.DeviceID="USB\\VID_2109&PID_2822\\5&38487EDF&0&1";
Win32_USBHub.DeviceID="USB\\VID_046D&PID_0AB7\\2033BAB02MK8";Win32_PnPEntity.DeviceID="USB\\VID_046D&PID_0AB7\\2033BAB02MK8";
Win32_USBHub.DeviceID="USB\\VID_0BDA&PID_0411\\6&A4A03B9&1&2";Win32_PnPEntity.DeviceID="USB\\VID_0BDA&PID_0411\\6&A4A03B9&1&2";
